* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 4128 
v 0 0.0278831 0
v 0 0.101542 0.111111
v 0.111111 0.0390248 0
v 0.111111 0.0390248 0
v 0 0.101542 0.111111
v 0.111111 0.0175998 0.111111
v 0.111111 0.111111 0.187389
v 0.111111 0.0153391 0.222222
v 0.0321611 0.111111 0.222222
v 0.111111 0 0.191127
v 0.111111 0.0175998 0.111111
v 0.107558 0 0.222222
v 0.111111 0.0175998 0.111111
v 0 0.102498 0.222222
v 0.107558 0 0.222222
v 0.111111 0.0175998 0.111111
v 0 0.101542 0.111111
v 0 0.102498 0.222222
v 0 0.102498 0.222222
v 0 0 0.31866
v 0.107558 0 0.222222
v 0.0321611 0.111111 0.222222
v 0.111111 0.0153391 0.222222
v 0.111111 0.111111 0.324097
v 0.0321611 0.111111 0.222222
v 0.111111 0.148443 0.222222
v 0.111111 0.111111 0.187389
v 0.0321611 0.111111 0.222222
v 0.111111 0.111111 0.324097
v 0.111111 0.148443 0.222222
v 0 0.216726 0.333333
v 0 0.222222 0.328779
v 0.0118733 0.222222 0.333333
v 0 0.222222 0.336448
v 0 0.216726 0.333333
v 0.0118733 0.222222 0.333333
v 0.0560523 0.222222 0.444444
v 0.111111 0.222222 0.355225
v 0.111111 0.122471 0.444444
v 0.111111 0.173719 0.555556
v 0.0560523 0.222222 0.444444
v 0.111111 0.122471 0.444444
v 0.0927566 0.222222 0.555556
v 0.0560523 0.222222 0.444444
v 0.111111 0.173719 0.555556
v 0.0927566 0.222222 0.555556
v 0.111111 0.173719 0.555556
v 0.111111 0.222222 0.621382
v 0 0.222222 0.648312
v 0.0658263 0.222222 0.666667
v 0 0.187071 0.666667
v 0 0.187071 0.666667
v 0.0658263 0.222222 0.666667
v 0 0.222222 0.706751
v 0.0565743 0.333333 0.111111
v 0.111111 0.256737 0
v 0.111111 0.333333 0.0981313
v 0.0565743 0.333333 0.111111
v 0 0.319825 0.111111
v 0.111111 0.256737 0
v 0 0.319825 0.111111
v 0 0.320225 0
v 0.111111 0.256737 0
v 0.111111 0.333333 0.141925
v 0 0.319825 0.111111
v 0.0565743 0.333333 0.111111
v 0.111111 0.333333 0.141925
v 0.111111 0.283997 0.222222
v 0 0.319825 0.111111
v 0.111111 0.283997 0.222222
v 0 0.292706 0.222222
v 0 0.319825 0.111111
v 0.0118733 0.222222 0.333333
v 0 0.222222 0.328779
v 0 0.292706 0.222222
v 0.0118733 0.222222 0.333333
v 0 0.292706 0.222222
v 0.111111 0.298717 0.333333
v 0.111111 0.298717 0.333333
v 0 0.292706 0.222222
v 0.111111 0.283997 0.222222
v 0.0560523 0.222222 0.444444
v 0.111111 0.281543 0.444444
v 0.111111 0.222222 0.355225
v 0 0.222222 0.336448
v 0.0118733 0.222222 0.333333
v 0.111111 0.333333 0.34587
v 0 0.222222 0.336448
v 0.111111 0.333333 0.34587
v 0 0.333333 0.36202
v 0.111111 0.333333 0.34587
v 0.0118733 0.222222 0.333333
v 0.111111 0.298717 0.333333
v 0.111111 0.281543 0.444444
v 0.0403422 0.333333 0.555556
v 0.111111 0.333333 0.488562
v 0.111111 0.281543 0.444444
v 0.0560523 0.222222 0.444444
v 0.0403422 0.333333 0.555556
